animal,pronoun,response,age,gender
rabbit,he,the rabbit stood stunned at the shore after seeing the river boiling and slowly turned red - blood red. He knew the sage's curse has come true and he will not be allowed to cross the river to meet his family on the other end. The rabbit took a firm resolve to undo the curse - he journeyed to the origin of the sacred river and reached the top after traveling 3 years.,20s,female
dog,it,"the dog stared into the river but could not see it's own reflection, as the riving was moving too quickly.",,
mouse,she,she saw her baby mouse is playing nearby the river. The baby mouse must have thought the river is a fun place for her and she loves to play under the rain.,20s,na
bear,,The bear jumped into the river and took a refreshing bath.,,
dog,he,"he wipped out his fishing rod, sniffed around looking for worms, pulling out the three biggest he could find and started to cast. ""Today I'm going to catch that trout that has been hunting my dreams!"" ",20s,male
pig,he,"the pig said, ""oh dear"", noticing the river was higher and faster than normal. ""I must build a dam,"" the pig said, and then the pig went to his friend, the beaver.",30s,male
rabbit,he,"the rabbit put down his sack of laundry. The cool, clear water was just what the rabbit needed to clean his clothing.",,
pig,she,"The pig applied sunscreen, hopped in her kayak and had a lovely day.",50s,male
pig,,the pig started playing an ukulele.,30s,male
cat,it,"the cat jumped into the river. ""Swimming is so fun', it said. After swimming for a grand total of 3 minutes and 42 seconds, it left.",u20,na
pig,it,"it joyfully splashed into the cool water, washing off the dust from its journey. It let out a satisfied snort, then noticed a group of ducks floating nearby. Curious, the pig paddled closer, eager to join their afternoon swim.",,
pig,he,The pig drank some water next to some of his friends then went back home to spend the day with his family,u20,male
bear,,I'm walking over here,30s,male
rabbit,they,"the rabbit realized it was a long journey, a trek if you will. They decided to take a leisurely rest and picnic along the bank. After all, it wasn't specified which river they had to attend to or why, it's not like they're the white rabbit?",20s,na
dog,,The dog did a doo doo.,40s,female
rabbit,he,he found the turtle relaxing below the tree.,20s,
cat,it,the cat dipped it's paw into the water and hated the wet feel. The cat shook its paw off and ran away.,40s,female
cat,they,Cat saw their friend Mr. Frog.,50s,male
mouse,he,The moose looked around for his friend.,,male
dog,he,he found he forgot his swimwear. And what is a dog without his swimwear? He drowned.,30s,male
mouse,she,"Mouse woke up today and saw that it was sunny. 
And then she also felt a strong feeling in her tummy. 
Soon that feeling made her feet start to quiver.
And with that mouse said, ""I must go to the river!""",40s,female
pig,he,"he'd forgotten to pack his swimming trunks, but decided to skinny dip anyway. After all, he was already naked except for his wristwatch",,
cat,,the cat jumped in the water and drank up all the water.,,
mouse,,the mouse rested,30s,male
mouse,he,"He washed off, and take a long drink of the fresh, crystal like water.",u20,male
bird,it,it took a dump.,,
mouse,she,she scurried off to find her beloved. She sniffed and scampered around for any trace of him. She realized that he was gone.,,
rabbit,she,"She saw her daughter with a group of strange bunnies.
Chatting.
",,
mouse,he,The mouse announced it needed to wash itself and others questioned where he would even do that,,
dog,he,He drank some water,,
pig,she,"she snorted out to her piglets, who were rolling around on the muddy bank. “It’s time to come home! Your supper is in the trough!”",40s,male
pig,he,"He found a puppy in a bag at the bottom of the river. 

He rescued the puppy and named him Jack.

They lived happily ever after.",30s,male
mouse,he,"the mouse went down to the basin, peered over the edge, and looked at his reflection in the pool. ",20s,
mouse,it,"Upon arriving, the mouse carefully scanned the area for any signs of danger. It then slowly made its way down to the water's edge and bent down to take a long, refreshing drink. After quenching its thirst, the mouse scurried back towards its cozy little burrow.",20s,female
mouse,he,"the river was moving rapidly, striking fear into the mouse. The poor mouse mustered up some courage and gathered the largest leaves and sticks he could find to craft a raft and sail the river.",20s,female
mouse,it,it took a bath and then layed down in the sun to dry.,u20,male
mouse,it,it drank itself into a stupor.,30s,male
bird,,the bird dove into the water.,30s,female
dog,they,"the dog sat, contemplated their journey, and splashed around a bit.",30s,female
bear,,"The bear jumped in and began looking for fish to eat
",,
pig,it,"the pig jumped into the river, and started swimming. It kept its nose above the water. It kept going until it found a perfect mud bath.",20s,female
bird,they,"Omg! They saw a hawk, then another! Then the other hawk said, ""I'm a hawk tuah!""",,
pig,he,"he saw a guy on the riverbank with a wolf, a goat and some cabbages, trying to figure out how to transport one at a time across the river in a leaky rowboat without the wolf eating the goat or the goat eating the cabbages.

This particular pig loved cabbage, but not enough to tangle with an apex predator that day (or ever) so he muttered ""good luck, loser"" under his breath and went back home.",40s,female
rabbit,,the rabbit jumped in and washed all the dirt off.,20s,female
pig,they,The pig filled their bottle with water and left for dinner.,20s,male
pig,he,He build a house!,40s,male
bird,it,"…it dipped its beak into the water, as if searching for something lost. The ripples spread outward, distorting its reflection into fleeting shapes. Satisfied, the bird took flight once more, disappearing into the golden horizon. ",20s,female
rabbit,he,"He lay down in the grass, watched the sun crawl across the sky, and gently fell asleep.",40s,male
cat,,The cat went fishing.,60+,male
rabbit,,"the rabbit found out the river was poisoned. All fish in the river where in trouble, but the rabbit had a solution ",20s,male
cat,it,It jumped into the river and caught a fresh fish,na,female
